CPDBID,Name/Model,Era,Year,"Technology Base",Chassis,"Rules Level (Current)",Tonnage,Designer,"Battle Value",Cost,Rating
2462,"Dragonfly (Viper) PRIME","Late Succession Wars",2940,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",1450,11000033,3.357143
4843,"Dragonfly (Viper) U",Jihad,3077,"Clan (Mixed)",Biped,"Tournament Legal",40,"Catalyst Game Labs",1417,11148958,-----
4291,"Dragonfly (Viper) Z",Jihad,3072,Clan,Biped,"Experimental (Extinct)",40,"Catalyst Game Labs",1692,13756283,-----
2461,"Dragonfly (Viper) [BASE]","Late Succession Wars",2940,Clan,Biped,"Tournament Legal",40,"Catalyst Game Labs",700,10211833,-----
3434,"Dragoon AEM-01","Star League",2771,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1669,14398433,-----
4283,"Dragoon AEM-05C","Dark Age",3141,"Inner Sphere (Mixed)",Biped,"Advanced (Extinct)",70,"Catalyst Game Labs",1893,17003683,-----
4168,"Duan Gung D9-G10",Jihad,3070,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",886,3796146,-----
514,"Duan Gung D9-G9","Clan Invasion",3058,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",737,3307083,2.062500
3656,"Duan Gung D9-G9 (Vaughn)",Jihad,3068,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",851,3369583,-----
515,"Eagle EGL-1M","Clan Invasion",3058,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",757,2214479,1.785714
516,"Eagle EGL-2M","Clan Invasion",3058,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",800,2237917,2.000000
4169,"Eagle EGL-3M",Jihad,3076,"Inner Sphere",Biped,Advanced,25,"Catalyst Game Labs",645,3019167,-----
4506,"Ebony MEB-10",Jihad,3081,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",1020,5354583,-----
4507,"Ebony MEB-11",Jihad,3081,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",1135,5379583,-----
4879,"Ebony MEB-12",Republic,3118,"Inner Sphere",Biped,Advanced,25,"Catalyst Game Labs",1837,6085833,-----
4880,"Ebony MEB-13","Dark Age",3137,"Inner Sphere",Biped,Advanced,25,"Catalyst Game Labs",700,4815000,-----
3328,"Ebony MEB-9",Jihad,3081,"Inner Sphere",Biped,"Tournament Legal",25,"Catalyst Game Labs",1012,5460833,-----
4542,"Eidolon C-EID-001",Jihad,3077,"Inner Sphere",Biped,"Tournament Legal (Extinct)",55,"Catalyst Game Labs",1505,8460262,-----
4048,"Eisenfaust EFT-2","Age of War",2471,Primitive,Biped,"Advanced (Extinct)",45,"Catalyst Game Labs",715,2626820,-----
4530,"Eisenfaust EFT-4J","Age of War",2515,"Inner Sphere",Biped,Introductory,45,"Catalyst Game Labs",977,2882383,-----
3335,"Eisenfaust EFT-7X",Jihad,3076,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",1203,5844370,-----
4531,"Eisenfaust EFT-8X",Jihad,3080,"Inner Sphere",Biped,Advanced,45,"Catalyst Game Labs",1039,5760633,-----
4059,"Emperor EMP-1A","Age of War",2442,Primitive,Biped,"Advanced (Extinct)",90,"Catalyst Game Labs",1453,8157650,-----
3723,"Emperor EMP-5A","Age of War",2502,"Inner Sphere",Biped,Introductory,90,"Catalyst Game Labs",1830,7932500,-----
693,"Emperor EMP-6A","Star League",2612,"Inner Sphere",Biped,"Tournament Legal",90,"Catalyst Game Labs",1969,18591500,3.625000
3655,"Emperor EMP-6A (Nerran)","Civil War",3064,"Inner Sphere (Mixed)",Biped,"Tournament Legal",90,"Catalyst Game Labs",2247,18500300,-----
3724,"Emperor EMP-6D",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal",90,"Catalyst Game Labs",2382,18671300,-----
3725,"Emperor EMP-6L",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal",90,"Catalyst Game Labs",2681,12758500,-----
3726,"Emperor EMP-6M",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal (Extinct)",90,"Catalyst Game Labs",2090,19410400,-----
3970,"Emperor EMP-6ME ""Mercury Elite""",Jihad,3075,"Inner Sphere",Biped,"Tournament Legal",90,"Catalyst Game Labs",2004,16159500,-----
3727,"Emperor EMP-6S",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal",90,"Catalyst Game Labs",2065,19068400,-----
3728,"Emperor EMP-7L",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal",90,"Catalyst Game Labs",2179,12205600,-----
5125,"Emperor EMP-8L",Republic,3127,"Inner Sphere",Biped,Advanced,90,"Catalyst Game Labs",2370,13231600,-----
768,"Enfield END-6J","Clan Invasion",3058,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1417,8804000,3.666667
586,"Enfield END-6Q","Clan Invasion",3055,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1248,8558375,3.625000
2864,"Enfield END-6S",Jihad,3070,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1413,7606875,-----
4727,"Enfield END-6Sr",Jihad,3072,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1361,7456875,-----
152,"Enforcer ENF-4R","Star League",2777,"Inner Sphere",Biped,Introductory,50,"Catalyst Game Labs",1032,3527875,3.153846
3596,"Enforcer ENF-4R (Daniel)","Late Succession Wars",3039,"Inner Sphere",Biped,"Experimental (Extinct)",50,"Catalyst Game Labs",1357,3644875,-----
326,"Enforcer ENF-5D","Clan Invasion",3050,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1308,8772875,2.888889
2893,"Enforcer ENF-5D (Daniel)","Clan Invasion",3054,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1738,8646875,-----
4179,"Enforcer III ENF-6G","Civil War",3062,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1858,8757875,-----
4180,"Enforcer III ENF-6H","Civil War",3064,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1603,8992250,-----
769,"Enforcer III ENF-6M","Clan Invasion",3059,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1460,8649875,3.166667
4728,"Enforcer III ENF-6Ma",Jihad,3076,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1275,8469875,-----
4181,"Enforcer III ENF-6NAIS",Jihad,3074,"Inner Sphere",Biped,Advanced,50,"Catalyst Game Labs",1475,9807125,-----
960,"Enforcer III ENF-6T","Civil War",3062,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1694,8540000,1.875000
4729,"Enforcer III ENF-7C3BS",Jihad,3075,"Inner Sphere",Biped,Advanced,50,"Catalyst Game Labs",1687,9261500,-----
4871,"Enforcer III ENF-7D",Republic,3104,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1495,10066250,-----
3943,"Enforcer III ENF-7X MUSE COMPACT",Jihad,3074,"Inner Sphere (Mixed)",Biped,"Tournament Legal",50,"Catalyst Game Labs",1670,10920500,-----
3583,"Epimetheus PRIME","Clan Invasion",3053,"Clan (Mixed)",Biped,"Tournament Legal",80,"Catalyst Game Labs",2517,27711300,-----
3582,"Epimetheus [BASE]","Clan Invasion",3053,"Clan (Mixed)",Biped,"Tournament Legal",80,"Catalyst Game Labs",1154,25522500,-----
2548,"Excalibur EXC-B1","Star League",2619,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1549,15656887,-----
651,"Excalibur EXC-B2","Star League",2620,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1533,15799687,2.200000
4375,"Excalibur EXC-B2b","Star League",2735,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1715,16001987,-----
652,"Excalibur EXC-C1","Clan Invasion",3058,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1637,15821787,2.250000
3650,"Excalibur EXC-C1 (Cernunnos)","Civil War",3062,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",1778,16630987,-----
3717,"Excalibur EXC-CS","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",70,"Catalyst Game Labs",2174,18188612,-----
3718,"Excalibur EXC-D1","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal (Extinct)",70,"Catalyst Game Labs",1949,17708787,-----
3488,"Exhumer EXR-2X",Republic,3129,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1468,11824640,-----
4146,"Exhumer EXR-3P","Dark Age",3131,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1469,12745728,-----
102,"Exterminator EXT-4A","Late Succession Wars",3007,"Inner Sphere",Biped,Introductory,65,"Catalyst Game Labs",1345,6481172,3.100000
3891,"Exterminator EXT-4C","Star League",2630,"Inner Sphere",Biped,Experimental,65,"Catalyst Game Labs",1420,19099823,-----
370,"Exterminator EXT-4D","Star League",2630,"Inner Sphere",Biped,"Tournament Legal",65,"Catalyst Game Labs",1385,15799823,2.750000
2941,"Exterminator EXT-4Db","Star League",2718,"Inner Sphere",Biped,"Tournament Legal",65,"Catalyst Game Labs",1694,16111673,-----
4448,"Exterminator EXT-4DX (Caine)","Star League",2754,"Inner Sphere",Biped,"Experimental (Extinct)",65,"Catalyst Game Labs",1794,20901760,-----
1007,"Exterminator EXT-5E","Clan Invasion",3060,"Inner Sphere",Biped,"Tournament Legal (Extinct)",65,"Catalyst Game Labs",1532,18693510,2.166667
3892,"Exterminator EXT-5F",Jihad,3074,"Inner Sphere",Biped,"Tournament Legal (Extinct)",65,"Catalyst Game Labs",1485,18439823,-----
4362,"Exterminator EXT-6CS",Jihad,3079,"Inner Sphere",Biped,Experimental,65,"Catalyst Game Labs",1592,19040010,-----
4464,"Eyleuka EYL-35A",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1484,12449032,-----
3217,"Eyleuka EYL-45A",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1464,13921532,-----
4465,"Eyleuka EYL-45B",Jihad,3075,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1615,14220682,-----
4463,"Eyleuka EYL-4A",Jihad,3068,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1571,13642015,-----
3466,Eyrie,Republic,3087,Clan,Biped,Advanced,35,"Catalyst Game Labs",1401,5687550,-----
3932,"Fafnir FNR-4A (Peter)",Jihad,3068,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2458,13406000,-----
1094,"Fafnir FNR-5","Civil War",3063,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2636,11150000,3.083333
1095,"Fafnir FNR-5B","Civil War",3065,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2625,10958000,3.437500
4323,"Fafnir FNR-5WB",Jihad,3073,"Inner Sphere",Biped,"Tournament Legal (Extinct)",100,"Catalyst Game Labs",2449,11914000,-----
4839,"Fafnir FNR-5X",Jihad,3078,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2610,11830000,-----
4324,"Fafnir FNR-6U",Jihad,3081,"Inner Sphere",Biped,"Tournament Legal",100,"Catalyst Game Labs",2234,19379000,-----
256,"Falcon FLC-4N","Star League",2582,"Inner Sphere",Biped,Introductory,30,"Catalyst Game Labs",610,2248090,2.750000
2918,"Falcon FLC-4Nb","Star League",2776,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",947,2760940,-----
2921,"Falcon FLC-4Nb (Saho)","Early Succession Wars",2801,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",774,2546440,-----
2919,"Falcon FLC-4Nb-PP","Early Succession Wars",2792,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",881,2578940,-----
2920,"Falcon FLC-4Nb-PP2","Early Succession Wars",2795,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",947,2656940,-----
257,"Falcon FLC-4P","Clan Invasion",3050,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",649,2305290,1.785714
3754,"Falcon FLC-5P","Civil War",3065,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",945,3758040,-----
3755,"Falcon FLC-6C","Civil War",3065,Clan,Biped,"Tournament Legal",30,"Catalyst Game Labs",1290,2690090,-----
500,"Falcon Hawk FNHK-9K","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",1030,4544550,2.500000
501,"Falcon Hawk FNHK-9K1A","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",1040,4436550,2.700000
2859,"Falcon Hawk FNHK-9K1B","Civil War",3063,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",1116,5157450,-----
662,"Falconer FLC-8R","Clan Invasion",3053,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",2231,18821250,4.100000
4818,"Falconer FLC-9R",Jihad,3075,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1979,18919250,-----
2959,"Fennec FEC-1CM",Jihad,3080,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1395,13822125,-----
4535,"Fennec FEC-3C",Republic,3087,"Inner Sphere",Biped,"Tournament Legal",55,"Catalyst Game Labs",1551,12182225,-----
4952,"Fennec FEC-5CM","Dark Age",3133,"Inner Sphere (Mixed)",Biped,Advanced,55,"Catalyst Game Labs",1438,40421158,-----
2469,"Fenris (Ice Ferret) A","Late Succession Wars",2948,Clan,Biped,"Tournament Legal",45,"Catalyst Game Labs",1323,12325634,2.187500
2470,"Fenris (Ice Ferret) B","Late Succession Wars",2948,Clan,Biped,"Tournament Legal",45,"Catalyst Game Labs",1461,12238363,3.500000
2471,"Fenris (Ice Ferret) C","Late Succession Wars",2948,Clan,Biped,"Tournament Legal",45,"Catalyst Game Labs",1211,12411003,2.571429
2472,"Fenris (Ice Ferret) D","Late Succession Wars",2948,Clan,Biped,"Tournament Legal",45,"Catalyst Game Labs",1653,12118738,4.000000
2642,"Fenris (Ice Ferret) E","Clan Invasion",3056,Clan,Biped,"Tournament Legal",45,"Catalyst Game Labs",1483,12065088,2.500000
2577,"Fenris (Ice Ferret) H","Clan Invasion",3061,Clan,Biped,"Tournament Legal",45,"Catalyst Game Labs",1619,12383363,3.000000
3156,"Fenris (Ice Ferret) L",Jihad,3069,Clan,Biped,"Tournament Legal",45,"Catalyst Game Labs",1380,12144384,-----
2468,"Fenris (Ice Ferret) PRIME","Late Succession Wars",2948,Clan,Biped,"Tournament Legal",45,"Catalyst Game Labs",1678,12445713,3.611111
4844,"Fenris (Ice Ferret) U",Jihad,3077,Clan,Biped,"Tournament Legal",45,"Catalyst Game Labs",1549,12839025,-----
2467,"Fenris (Ice Ferret) [BASE]","Late Succession Wars",2948,Clan,Biped,"Tournament Legal",45,"Catalyst Game Labs",739,11390656,-----
2305,"Fire Falcon A","Clan Invasion",3052,Clan,Biped,"Tournament Legal",25,"Catalyst Game Labs",822,4401693,1.937500
2306,"Fire Falcon B","Clan Invasion",3052,Clan,Biped,"Tournament Legal",25,"Catalyst Game Labs",1570,4540365,3.928571
2307,"Fire Falcon C","Clan Invasion",3052,Clan,Biped,"Tournament Legal",25,"Catalyst Game Labs",1004,4770443,2.571429
2308,"Fire Falcon D","Clan Invasion",3052,Clan,Biped,"Tournament Legal",25,"Catalyst Game Labs",826,4587240,2.357143
2676,"Fire Falcon E","Clan Invasion",3061,Clan,Biped,"Tournament Legal",25,"Catalyst Game Labs",1094,4509115,2.333333
3670,"Fire Falcon F",Jihad,3072,Clan,Biped,"Tournament Legal",25,"Catalyst Game Labs",1135,4720052,-----
2627,"Fire Falcon H","Civil War",3062,Clan,Biped,"Tournament Legal",25,"Catalyst Game Labs",1162,4474740,2.800000
2304,"Fire Falcon PRIME","Clan Invasion",3052,Clan,Biped,"Tournament Legal",25,"Catalyst Game Labs",1451,4622396,3.312500
2303,"Fire Falcon [BASE]","Clan Invasion",3052,Clan,Biped,"Tournament Legal",25,"Catalyst Game Labs",398,3884115,-----
815,"Fire Scorpion","Early Succession Wars",2852,Clan,Quad,"Tournament Legal",65,"Catalyst Game Labs",1546,6101150,3.833333
816,"Fire Scorpion 2","Clan Invasion",3060,Clan,Quad,"Tournament Legal",65,"Catalyst Game Labs",1749,6398150,3.833333
4226,"Fire Scorpion 3",Jihad,3071,Clan,Quad,"Tournament Legal",65,"Catalyst Game Labs",1904,6483950,-----
4701,"Fireball ALM-10D",Jihad,3076,"Inner Sphere",Biped,"Tournament Legal",20,"Catalyst Game Labs",957,3534820,-----
452,"Fireball ALM-7D","Clan Invasion",3053,"Inner Sphere",Biped,"Tournament Legal",20,"Catalyst Game Labs",385,3022240,1.611111
465,"Fireball ALM-8D","Clan Invasion",3054,"Inner Sphere",Biped,"Tournament Legal",20,"Catalyst Game Labs",574,3106240,2.100000
466,"Fireball ALM-9D","Clan Invasion",3054,"Inner Sphere",Biped,"Tournament Legal",20,"Catalyst Game Labs",527,3070240,2.666667
4697,"Fireball ALM-XF",Jihad,3077,"Inner Sphere",Biped,Advanced,20,"Catalyst Game Labs",612,16909240,-----
4047,"Firebee FRB-1E (WAM-B)","Age of War",2483,Primitive,Biped,"Advanced (Extinct)",35,"Catalyst Game Labs",514,2550555,-----
3271,"Firebee FRB-2E","Age of War",2524,"Inner Sphere",Biped,Introductory,35,"Catalyst Game Labs",808,2463930,-----
4406,"Firebee FRB-3E",Jihad,3071,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",1067,3439710,-----
1108,"Firefly C","Early Succession Wars",2839,Clan,Biped,"Tournament Legal",30,"Catalyst Game Labs",1290,2406300,2.625000
6544,"Firefly FFL-3A","Early Succession Wars",2790,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",797,3614000,-----
2924,"Firefly FFL-3PP","Early Succession Wars",2801,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",888,3575000,-----
2925,"Firefly FFL-3PP2","Early Succession Wars",2801,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",873,3672500,-----
2926,"Firefly FFL-3PP3","Early Succession Wars",2801,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",808,3607500,-----
2923,"Firefly FFL-3SL","Early Succession Wars",2790,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",794,3542500,-----
2922,"Firefly FFL-3SLE","Early Succession Wars",2790,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",876,3809000,-----
258,"Firefly FFL-4A","Early Succession Wars",2801,"Inner Sphere",Biped,Introductory,30,"Catalyst Game Labs",831,2164500,2.357143
259,"Firefly FFL-4B","Late Succession Wars",3047,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",870,2301000,2.312500
3756,"Firefly FFL-4C","Late Succession Wars",3048,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",806,3803800,-----
3757,"Firefly FFL-4D","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",897,3490500,-----
3181,"Firefly FFL-4DA","Civil War",3067,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",921,3620500,-----
2343,"Firestarter FS9 [BASE]","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",646,9386031,-----
4070,"Firestarter FS9-A","Age of War",2550,"Inner Sphere",Biped,Introductory,35,"Catalyst Game Labs",773,3075975,-----
3764,"Firestarter FS9-B",Jihad,3070,"Inner Sphere",Biped,"Tournament Legal (Extinct)",35,"Catalyst Game Labs",668,6623100,-----
915,"Firestarter FS9-C","Civil War",3064,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",940,3329100,2.250000
49,"Firestarter FS9-H","Star League",2703,"Inner Sphere",Biped,Introductory,35,"Catalyst Game Labs",694,3045600,3.392857
4071,"Firestarter FS9-K","Age of War",2550,"Inner Sphere",Biped,Introductory,35,"Catalyst Game Labs",763,3069225,-----
187,"Firestarter FS9-M ""Mirage""","Early Succession Wars",2893,"Inner Sphere",Biped,Introductory,35,"Catalyst Game Labs",798,3065175,2.033333
2711,"Firestarter FS9-M2",Republic,3101,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",751,3218400,-----
2712,"Firestarter FS9-M3",Republic,3104,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",866,3836363,-----
4422,"Firestarter FS9-M4",Republic,3109,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",798,5299425,-----
2350,"Firestarter FS9-O","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",1144,10146375,3.400000
2351,"Firestarter FS9-OA","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",976,10135500,1.500000
2352,"Firestarter FS9-OB","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",1070,10493016,3.250000
2353,"Firestarter FS9-OC","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",1006,10230203,3.000000
2354,"Firestarter FS9-OD","Clan Invasion",3057,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",1322,10876359,3.750000
2534,"Firestarter FS9-OE","Clan Invasion",3058,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",998,9810338,2.250000
2535,"Firestarter FS9-OF","Clan Invasion",3060,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",1446,10440453,3.500000
2578,"Firestarter FS9-OG","Civil War",3063,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",1063,10151359,3.500000
2862,"Firestarter FS9-OH",Jihad,3069,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",1119,10829688,-----
3737,"Firestarter FS9-OR","Clan Invasion",3059,"Inner Sphere (Mixed)",Biped,"Tournament Legal",45,"Catalyst Game Labs",1713,10481688,-----
4720,"Firestarter FS9-OU",Jihad,3077,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",1120,9989956,-----
2866,"Firestarter FS9-OX","Clan Invasion",3059,"Inner Sphere",Biped,"Tournament Legal",45,"Catalyst Game Labs",1190,12185438,-----
3765,"Firestarter FS9-P","Civil War",3064,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",775,3220425,-----
275,"Firestarter FS9-S","Late Succession Wars",3049,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",754,3508988,2.687500
276,"Firestarter FS9-S1","Late Succession Wars",3049,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",820,3508988,2.500000
3766,"Firestarter FS9-S2",Jihad,3075,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",842,3735113,-----
3767,"Firestarter FS9-S3",Jihad,3075,"Inner Sphere",Biped,"Tournament Legal",35,"Catalyst Game Labs",908,3735113,-----
3926,"Firestarter FS9-X81",Jihad,3074,"Inner Sphere",Biped,Advanced,35,"Catalyst Game Labs",1065,16211475,-----
4579,"Flamberge 2",Republic,3087,Clan,Biped,Advanced,70,"Catalyst Game Labs",2468,15625323,-----
4580,"Flamberge 3",Republic,3087,Clan,Biped,Advanced,70,"Catalyst Game Labs",2346,15926223,-----
3371,"Flamberge A",Jihad,3077,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",2575,18820417,-----
3372,"Flamberge B",Jihad,3077,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",2750,18918167,-----
3373,"Flamberge C",Jihad,3077,Clan,Biped,Advanced,70,"Catalyst Game Labs",2206,17528417,-----
5038,"Flamberge D",Republic,3115,"Clan (Mixed)",Biped,"Tournament Legal",70,"Catalyst Game Labs",2357,17690342,-----
3370,"Flamberge PRIME",Jihad,3077,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",2266,19517842,-----
3369,"Flamberge [BASE]",Jihad,3077,Clan,Biped,"Tournament Legal",70,"Catalyst Game Labs",1045,15284417,-----
3117,"Flashfire FLS-P2","Clan Invasion",3054,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",718,3780400,-----
3118,"Flashfire FLS-P4","Clan Invasion",3055,"Inner Sphere",Biped,"Tournament Legal",30,"Catalyst Game Labs",712,3957200,-----
3305,"Flashfire FLS-P5","Civil War",3067,"Inner Sphere",Biped,Advanced,30,"Catalyst Game Labs",654,3764150,-----
74,"Flashman FLS-7K","Early Succession Wars",2796,"Inner Sphere",Biped,Introductory,75,"Catalyst Game Labs",1480,6341125,3.777778
399,"Flashman FLS-8K","Star League",2701,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1779,17828125,3.250000
3898,"Flashman FLS-9B",Jihad,3068,"Inner Sphere",Biped,"Tournament Legal (Extinct)",75,"Catalyst Game Labs",1600,18293188,-----
1206,"Flashman FLS-9C","Clan Invasion",3061,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1779,18643625,3.625000
3899,"Flashman FLS-9M",Jihad,3070,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1895,12834063,-----
3900,"Flashman FLS-C","Civil War",3063,"Inner Sphere",Biped,"Tournament Legal",75,"Catalyst Game Labs",1774,18252500,-----
3749,"Flea (Fire Ant)","Civil War",3063,"Inner Sphere",Biped,"Tournament Legal",20,"Catalyst Game Labs",332,1605000,-----
4626,"Flea FLE-14","Age of War",2519,"Inner Sphere",Biped,"Tournament Legal",15,"Catalyst Game Labs",270,1336875,1.500000
209,"Flea FLE-15","Age of War",2523,"Inner Sphere",Biped,Introductory,20,"Catalyst Game Labs",430,1519200,2.458333
5249,"Flea FLE-16","Late Succession Wars",3031,"Inner Sphere",Biped,Introductory,20,"Catalyst Game Labs",506,1576200,-----
210,"Flea FLE-17","Late Succession Wars",3049,"Inner Sphere",Biped,"Tournament Legal",20,"Catalyst Game Labs",510,1728000,1.875000
3747,"Flea FLE-19",Jihad,3068,"Inner Sphere",Biped,"Tournament Legal",20,"Catalyst Game Labs",381,1482000,-----
3748,"Flea FLE-20",Jihad,3071,"Inner Sphere",Biped,"Tournament Legal",20,"Catalyst Game Labs",791,2346000,-----
211,"Flea FLE-4","Age of War",2501,"Inner Sphere",Biped,Introductory,20,"Catalyst Game Labs",432,1519200,1.000000
626,"Galahad (Glass Spider)","Early Succession Wars",2834,Clan,Biped,"Tournament Legal",60,"Catalyst Game Labs",1825,5552000,3.125000
802,"Galahad (Glass Spider) 2","Late Succession Wars",2952,Clan,Biped,"Tournament Legal",60,"Catalyst Game Labs",2038,5382400,3.700000
2782,"Galahad (Glass Spider) 3","Civil War",3065,Clan,Biped,"Tournament Legal",60,"Catalyst Game Labs",2508,6185600,-----
4389,"Galahad GLH-1D","Age of War",2570,"Inner Sphere",Biped,"Tournament Legal",50,"Catalyst Game Labs",1307,3687000,-----
3263,"Galahad GLH-2D","Star League",2594,"Inner Sphere",Biped,"Tournament Legal",60,"Catalyst Game Labs",1648,4457600,-----
4390,"Galahad GLH-3D",Jihad,3070,"Inner Sphere",Biped,"Tournament Legal (Extinct)",60,"Catalyst Game Labs",1268,9784000,-----
